question,options,right_answer
"民族地区存在的困难和问题,归根结底要靠()来解决.","['艰苦奋斗', '发展', '解放思想']",['发展']
"要立足中华民族现代科技,加强中华民族共同体理论体系建设.()","['正确', '错误']",['错误']
中央第四次民族工作会议召开的时间是().,"['2009年', '2011年', '2013年', '2014年']",['2014年']
"习近平总书记强调：“加强中华民族大团结,长远和根本的是增强文化认同,建设各民族共有精神家园,积极培养中华民族共同体意识.","['正确', '错误']",['正确']
新时代党的民族工作的主线是坚持中国特色社会主义文化.,"['正确', '错误']",['错误']
我国民族自治地方的面积占全国总面积的比例是().,"['占50%', '占64%', '占75%']",['占64%']
"以下选项中,民族的传统节日是“泼水节”的少数民族是？()","['傣族', '彝族', '藏族', '哈尼族']",['傣族']
"习近平总书记在中央新疆工作座谈会上强调,铸牢中华民族共同体意识是新时代党的治疆方略的核心要义.以下哪个选项符合这一观点.","['加强和改善党的领导,牢牢把握新疆工作主动权', '坚持以人民为中心的发展思想,推动新疆经济高质量发展', '坚持依法治理与以德润心相结合,促进社会和谐稳定', '推进文化交流互鉴,增强各族群众对中华文化的认同感']","['加强和改善党的领导,牢牢把握新疆工作主动权']"
"在社会生活的各方面,政府对少数民族保持或改革本民族风俗习惯的权利加以保护.","['正确', '错误']",['正确']
"中华文明历尽沧桑而薪火相传,是世界上唯一绵延不断且以国家形态发展至今的伟大文明.连续性、创新性、崇高性、包容性、和平性这五大突出特性,共同塑造了中华文明的整体特征,形成了博大精深的价值观念和文明体系.()","['正确', '错误']",['错误']
"“做好新时代党的民族工作,要把铸牢中华民族共同体意识作为党的民族工作的主线.”连日来,习近平总书记在中央民族工作会议上的重要讲话引发社会各界热烈反响.大家表示,在实现第二个百年奋斗目标新征程上,要以铸牢中华民族共同体意识为主线,()、(),为实现中华民族伟大复兴的中国梦贡献力量.","['团结携手', '共同携手', '共同奋进', '团结奋进']","['团结携手', '共同奋进']"
"()是培育中华民族共同体意识的根本原则.千百年来,(),始终是中华民族高于一切的()、精神寄托和道德情感,始终是我国社会历史发展的主流.","['维护国家统一', '维护和发展统一的多民族国家', '维护国家安全', '政治理想']","['维护国家统一', '维护和发展统一的多民族国家', '政治理想']"
"以下选项中,能够判断我国民族识别的依据是？()","['民族风俗和民族习惯', '民族信仰和民族特征', '民族特征和民族意愿', '民族意愿和民族信仰']",['民族特征和民族意愿']
"以下选项中,黄道婆曾经向哪一个少数妇女学习过棉纺织技术？()","['水族', '京族', '彝族', '黎族']",['黎族']
"各民族共创中华文化、共享中华文化、共传中华文化,是中华民族共有精神家园中的重要内容.","['正确', '错误']",['正确']
"习近平总书记提出,我们把铸牢中华民族共同体意识作为思想政治工作的重中之重,坚持抓好课堂主阵地,开设相关特色课程,将我们党关于加强和改进民族工作的重要思想贯穿思政课教学体系、课程体系、教材体系.()","['正确', '错误']",['正确']
"党的()大以来,我们党强调中华民族大家庭、中华民族共同体、铸牢中华民族共同体意识、推进中华民族共同体建设等理念,鲜明提出把铸牢中华民族共同体意识作为新时代党的民族工作的主线、作为民族地区各项工作的主线.","['十七', '十八', '十九', '二十']",['十八']
"中央民族工作会议指出,要根据不同地区、不同民族实际,以()为原则,突出区域化和精确性,更多针对特定地区、特殊问题、特别事项制定实施差别化区域支持政策.","['科学有序', '公平合理', '公平公正', '合理运行']",['公平公正']
铸牢中华民族共同体意识是习近平总书记关于民族理论的重大原创性论断.,"['正确', '错误']",['正确']
"中央民族工作会议指出,推动各民族坚定对伟大祖国、中华民族、()、中国共产党、中国特色社会主义的高度认同,不断推进中华民族共同体意识.","['中国道路', '中国文化', '中华文化', '中国方案']",['中华文化']
"下列选项中,公民可以修改自己的民族成份的年龄可以是()","['28', '25', '19', '15']","['19', '15']"
"()是我国高等教育的重要组成部分,在推动各民族文化传承保护和创新交融方面发挥着重要作用.","['民族高校', '民族自治机构', '少数民族自治区', '少数民族文化']",['民族高校']
"习近平总书记强调,要自觉做党的创新理论的笃信笃行者、对党忠诚老实的模范践行者、矢志为民造福的无私奉献者、勇于担当作为的不懈奋斗者、良好政治生态的有力促进者.()","['正确', '错误']",['正确']
铸牢中华民族共同体意识是实现中华民族伟大复兴的必然要求,"['正确', '错误']",['正确']
"习近平总书记在谈到民族团结时提到,要坚持和发展中华民族共同体意识,这意味着什么.","['增强民族自豪感', '促进各民族交往交流交融', '强化民族区域自治', '维护民族地区稳定']",['促进各民族交往交流交融']
"在处理民族事务的过程中,必须注意把握正确的原则和方式,坚持()、(),是什么问题就按什么问题处理.","['一视同仁', '一断于法', '不别亲疏', '不殊贵贱']","['一视同仁', '一断于法']"
"聚焦构筑中华民族共有精神家园,以社会主义核心价值观为引领,始终发扬伟大中华民族精神,在增强对中华文化认同的基础上繁荣发展各民族优秀文化,推动().","['创造性创新和创新性发展', '创新性转化和创造性发展', '创造性转化和创新性发展', '创新性发展和创造性发展']",['创造性转化和创新性发展']
"促进民族团结进步,应当以铸牢中华民族共同体意识为主线,坚持中华民族多元一体格局,增进共性、促进一体,尊重差异、包容多样,引导各族群众树立正确的国家观、()、()、()、(),加强各民族交往交流交融,促进各民族和睦共处、和衷共济、和谐发展.","['历史观', '民族观', '文化观', '宗教观', '思想观']","['历史观', '民族观', '文化观', '宗教观']"
"习近平总书记在中央民族工作会议讲话中要求,全党要牢记我国是统一的多民族国家这一基本国情,坚持把()作为各民族根本利益.","['维护民族团结和国家统一', '维护稳定', '各民族各自发展', '经济发展']",['维护民族团结和国家统一']
党的第十八次全国代表大会把“铸牢中华民族共同体意识”正式写入党章,"['正确', '错误']",['错误']
坚持和完善民族区域自治制度是铸牢中华民族共同体意识的()基础.,"['文化', '经济', '政治', '思想']",['政治']
第一次系统、明确地提出了民族地区实施西部大开发战略的五项主要任务的是().,"['1992年中央民族工作会议', '1999年中央民族工作会议', '2005年中央民族工作会议', '2014年中央民族工作会议']",['1999年中央民族工作会议']
"下列少数民族艺术作品中,属于蒙古族作品的有()","['《嘎达梅林》', '《玛纳斯》', '《巴拉根仓的故事》', '《格萨尔王传》']","['《嘎达梅林》', '《巴拉根仓的故事》']"
"下列选项中()指的是任何一个民族都应该在政治、经济、文化教育等方面享我国是统一的多民族国家,民受与其他民族平等的待遇.","['保障权益原则', '优先发展原则', '民族团结原则', '民族平等原则']",['民族平等原则']
"以下选项中,民族的传统节日是“沐浴节”的少数民族是？()","['藏族', '傣族', '彝族', '哈尼族']",['藏族']
必须从中华民族()高度把握新时代党的()的历史方位.,"['伟大复兴战略', '社会工作', '民族工作', '“国之大者”战略']","['伟大复兴战略', '民族工作']"
"民族团结是各民族间和各民族内部在共同利益基础上结成的平等互助、友好合作的关系,是马克思主义处理民族问题的一项基本原则.也是社会主义民族关系的基本特征和核心内容之一.","['正确', '错误']",['正确']
"要加大对民族地区基础设施建设、产业结构调整支持力度,优化()和()整体布局,不断增强各族群众获得感、幸福感、安全感.","['经济社会发展', '生态文明发展', '生态文明建设', '经济社会建设']","['经济社会发展', '生态文明建设']"
踩山节是羌族的传统节日.(),"['正确', '错误']",['错误']
"全面建成社会主义现代化强国,一个民族也不能少.","['正确', '错误']",['正确']
创造各民族共居共学共事共乐的社会环境是筑牢中华民族共同体意识的()基础.,"['经济', '文化', '社会']",['社会']
全国每5年召开一次民族团结进步表彰大会.,"['正确', '错误']",['正确']
"文化认同是最深层次的认同,是民族团结之()、民族和睦之().","['基', '根', '魂', '柱']","['根', '柱']"
现阶段解决我国民族问题的根本途径是加快少数民族和民族地区经济社会发展.,"['正确', '错误']",['正确']
各民族在中华民族大家庭中像石榴籽一样紧紧抱在一起.,"['正确', '错误']",['正确']
我国各族人民的生命线是民族团结.,"['正确', '错误']",['正确']
"以下选项中,我国少数民族中人口最多的是？()","['壮族', '满族', '回族', '维吾尔族']",['壮族']
"各民族只有像()一样紧紧抱在一起,广泛交往交流交融,坚持各民族(),(),才能共创中华民族的美好未来,共享()的伟大荣光.","['石榴籽', '共同团结奋斗', '共同繁荣发展', '民族繁荣', '民族复兴']","['石榴籽', '共同团结奋斗', '共同繁荣发展', '民族复兴']"
"以下选项中,民族的传统服装是“旗袍”的少数民族是？()","['满族', '蒙古族', '回族', '哈萨克族']",['满族']
"习近平总书记指出,要始终坚持中国特色解决民族问题的正确道路,用党关于加强和改进民族工作的重要()和指导中华民族共同体理论体系建设.","['思想统领', '思想指导', '政治统领', '政治引导']",['思想统领']
"铸牢中华民族共同体意识,就是要引导各族人民牢固树立休戚与共、荣辱与共、生死与共、命运与共的共同体理念.()","['正确', '错误']",['正确']
新时代党的民族工作的“纲”指的是中国特色社会主义文化.,"['正确', '错误']",['错误']
"中华文化集中国各民族文化之大成,各民族文化是构筑中华民族共有精神家园的().","['内涵', '核心', '根基', '基础']",['基础']
"我们要以为人民服务为主线,强化党建引领保障作用,牢牢把握立德树人根本任务,把铸牢中华民族共同体意识融入办学治校、教书育人全过程.()","['正确', '错误']",['错误']
泼水节是白族的传统节日.(),"['正确', '错误']",['错误']
"两岸同胞同根同源、同文同种,()是两岸同胞心灵的根脉和归属.","['中华文化', '两岸文化', '近代文化', '古代文化']",['中华文化']
各民族共同繁荣是实现民族平等的前提条件.,"['正确', '错误']",['错误']
"在强国建设、民族复兴新征程上,深刻把握中华文明具有的突出的统一性,不断增强中华民族的归属感、辩证观、尊严感、荣誉感,我们定能推动中华民族走向包容性更强、凝聚力更大的命运共同体,铸就中华文化新辉煌.","['正确', '错误']",['错误']
下列选项中()是民族区域自治制度的核心内容.,"['自由权', '自治权', '民族平等', '资源共享']",['自治权']
"回顾改革开放以来,每当民族工作出现新情况新问题时,中央总会及时召开会议,统一全党思想,对民族工作进行研究部署.","['正确', '错误']",['正确']
"中华民族共同体意识是指中华民族成员对与自己属于中华民族的认同感和归属感,以及对中华民族整体利益的认同和责任感.","['正确', '错误']",['正确']
如何把铸牢中华民族共同体意识工作抓实抓细？,"['用鲜活故事滋润人心', '由各族人民共同讲述', '以媒体融合发展提升效果', '以上都是']",['以上都是']
"改革开放特别是党的()以来,我们党强调中华民族大家庭、中华民族共同体、铸牢中华民族共同体意识等理念,既一脉相承又与时俱进.","['十六大', '十七大', '十八大', '十九大']",['十八大']
"习近平总书记在中共中央政治局第九次集体学习时强调,在新的历史起点上不断构筑(),为铸牢中华民族共同体意识奠定坚实的()基础.物质文明与精神文明相协调是中国式现代化的特征之一.","['中华民族共有精神家园', '中华民族共同体意识', '精神和文化', '精神和物质']","['中华民族共有精神家园', '精神和文化']"
赶年节是毛南族的传统节日.(),"['正确', '错误']",['正确']
"以下选项中,民族的传统节日是“那达慕大会”的少数民族是？()","['蒙古族', '哈萨克族', '傣族', '彝族']",['蒙古族']
“铸牢中华民族共同体意识”于()写入党章.,"['党的十八大', '党的十九大', '党的十七大', '党的十六大']",['党的十九大']
党和国家对待少数民族风俗习惯问题的基本政策是().,"['尊重少数民族的风俗习惯,各民族都有保持或者改革本民族风俗习惯的自由', '尊重少数民族的风俗习惯,各民族没有保持或者改革本民族风俗习惯的自由', '各民族保持或者改革本民族风俗习惯需要经过其他民族同意', '各民族不需要保持或者改革本民族风俗习惯']","['尊重少数民族的风俗习惯,各民族都有保持或者改革本民族风俗习惯的自由']"
"在2021年中央民族工作会议上,总书记还提出,要正确()的关系.","['把握汉族文化和少数民族文化', '把握发达地区文化和欠发达地区文化', '把握中华文化和各民族文化', '把握中华文化和外国文化']",['把握中华文化和各民族文化']
"以下选项中,以“孔雀舞”著称的少数民族是？()","['土家族', '傣族', '汉族', '回族']",['傣族']
"习近平总书记指出,要着眼建设中华民族(),不断构筑中华民族共有精神家园.","['古代文明', '革命历史', '远古文明', '现代文明']",['现代文明']
"中华民族共同体意识是指中华民族成员对与自己属于中华民族的认同感和归属感,以及对中华民族整体利益的认同和().","['归属感', '责任感', '成就感', '自豪感']",['责任感']
"春秋时期,我国确立了统一的多民族国家的版图.","['正确', '错误']",['错误']
"我们要深刻认识到,铸牢中华民族共同体意识是维护各民族根本利益的()、是实现中华民族伟大复兴的()、是巩固和发展平等团结互助和谐社会主义民族关系的()、是党的民族工作开创新局面的().","['主要要求', '必要手段', '必然结果', '必然要求']",['必然要求']
"坚持铸牢中华民族共同体意识这条主线,就要不断构筑中华民族共有精神家园.一要(),二要(),三要().","['以增强认同为目标', '发挥文化“润化”功能,让中华民族共同体意识根植心灵深处', '繁荣和发展文化产业,讲好中华民族共同体故事']","['以增强认同为目标', '发挥文化“润化”功能,让中华民族共同体意识根植心灵深处', '繁荣和发展文化产业,讲好中华民族共同体故事']"
"以下选项中,少数民族最多的省份是？()","['宁夏', '山东', '河南', '云南']",['云南']
"要牢牢把握铸牢中华民族共同体意识这一主线,扎实推进少数民族和民族地区现代化建设,牢固树立正确的(),更好促进各民族广泛交往交流交融,推动新时代党的民族工作高质量发展.","['中华民族人生观', '中华民族价值观', '中华民族民族认同', '中华民族历史观']",['中华民族历史观']
"在中央第四次民族工作会议中,习近平总书记提出我国民族工作的中心内容是“加强中华民族大团结,长远和根本的是增强(),建设各民族共有精神家园,积极培养中华民族共同体意识”.","['文化认同', '政治认同', '思想认同', '地域认同']",['文化认同']
"努力造就一支德才兼备的少数民族干部队伍,是做好民族工作和解决民族问题的关键.","['正确', '错误']",['正确']
"习近平总书记在谈到民族团结进步创建活动时指出,要广泛深入开展民族团结进步创建活动,形成全社会共同关注和支持民族团结进步事业的良好氛围.以下哪项不属于民族团结进步创建活动的内容.","['加强民族团结教育基地建设', '开展民族文化艺术节活动', '限制少数民族群众参与政治生活', '加强民族团结进步宣传工作']",['限制少数民族群众参与政治生活']
增强各族群众“三个意识”指：国家意识、公民意识、().,"['法治意识', '环境意识', '平等意识', '发展意识']",['法治意识']
2021年中央民族工作会议主题是().,"['以铸牢中华民族共同体意识为主线推动新时代党的民族工作高质量发展.', '加强各民族的大团结,为建设有中国特色的社会主义携手前进”.', '加快少数民族和民族地区经济发展和社会进步”', '“以科学发展观统领民族工作,促进民族地区和谐发展”']",['以铸牢中华民族共同体意识为主线推动新时代党的民族工作高质量发展.']
"要把建设各民族共有精神家园作为()来抓,在各民族中大力弘扬社会主义核心价值观.","['战略目标', '战略重点', '战略任务', '战略关键']",['战略任务']
"2014年5月,习近平总书记在第三次中央新疆工作座谈会上提出“中华民族共同体意识”重大论断","['正确', '错误']",['错误']
"1992年中央民族工作会议指出,民族问题包括(),也同时包括民族之间、民族与阶级、国家之间等方面的关系.","['中国与世界之间', '民族聚居', '民族团结', '民族自身的发展']",['民族自身的发展']
"习近平在中央民族工作会议上强调,做好新时代党的民族工作,要把铸牢中华民族共同体意识作为党的民族工作的主线.铸牢中华民族共同体意识,就是要引导各族人民牢固树立()的共同体理念.","['荣辱与共、患难与共、生死与共、甘苦与共', '休戚与共、命运与共、生死与共、同甘共苦', '休戚与共、荣辱与共、生死与共、命运与共', '荣辱与共、患难与共、甘苦与共、命运与共']",['休戚与共、荣辱与共、生死与共、命运与共']
"铸牢中华民族共同体意识,既要做看得见、摸得着的工作,也要做大量的“润物细无声”的事情.推进中华民族共有精神家园建设,促进各民族交往交流交融,各项工作都要往实里抓、往细里做,要()、()、().","['有形', '有感', '有声', '有效']","['有形', '有感', '有效']"
"1992年中央民族工作会议提出了民族工作的三句话：一是继续巩固和发展社会主义的民族关系,二是(),三是加快民族地区的经济发展和社会进步.","['坚持和完善民族区域自治制度', '推动民族工作有序发展', '打造社会主义新型民族关系', '发展新时代民族关系']",['坚持和完善民族区域自治制度']
"2022年7月,习近平总书记在视察新疆时强调,要铸牢中华民族共同体意识,促进各民族().","['交往', '交流', '交融', '以上都是']",['以上都是']
民族概念中的“四个共同”是指共同语言、共同地域、共同经济生活、().,"['共同学习', '共同创造', '共同心理素质', '共同发展目标']",['共同心理素质']
解决我国民族问题的根本道路是中国特色社会主义道路.,"['正确', '错误']",['正确']
"2021年中央民族工作会议指出,要把民族事务纳入共建共治共享的社会治理格局,为我们在新时代提升()和()提供了重要遵循.","['民族事务治理体系', '治理能力现代化水平', '民族事务治理制度', '治理能力法治化水平']","['民族事务治理体系', '治理能力现代化水平']"
"()是发展中国特色社会主义民主,建设国家制度体系和治理体系的重要组成部分.","['人民代表大会制度', '中国共产党的领导', '民族区域自治制度', '基层群众自治制度']",['民族区域自治制度']
"下列选项中,哪些是正确对待我国民族关系的做法？()","['小明对少数民族很感兴趣,经常同班里少数民族的同学友好交流', '小红是班级的宣传委员,通过绘制黑板报以宣扬民族团结平等', '小丽经常去少数民族聚集地旅游,积极参与少数民族的特色民俗活动']","['小明对少数民族很感兴趣,经常同班里少数民族的同学友好交流', '小红是班级的宣传委员,通过绘制黑板报以宣扬民族团结平等', '小丽经常去少数民族聚集地旅游,积极参与少数民族的特色民俗活动']"
"民族区域自治制度是我国基本政治制度之一,是在国家统一领导下,各少数民族聚居的地方实行区域自治,行使自治权的制度.以下省份实行该制度的有？()","['广西', '宁夏', '西藏', '新疆', '云南']","['广西', '宁夏', '西藏', '新疆']"
我国民族关系中的“三个不离开”指().,"['汉族离不开少数民族,少数民族离不开汉族,各少数民族之间也相互离不开', '民族关系的和谐离不开经济发展,离不开民族政策教育,离不开法制建设', '各民族的团结离不开共同繁荣,离不开共同发展,离不开共同进步']","['汉族离不开少数民族,少数民族离不开汉族,各少数民族之间也相互离不开']"
中央第四次民族工作会议把民族工作提高到“关系祖国统一和边疆巩固的大事”“关系国家长治久安和中华民族繁荣昌盛的大事”“把维护民族团结和国家统一作为各民族最高利益”的高度.,"['正确', '错误']",['正确']
21世纪召开的新阶段第一次民族工作会议是().,"['1992年中央民族工作会议', '1999年中央民族工作会议', '2005年中央民族工作会议', '2021年中央民族工作会议']",['2005年中央民族工作会议']
党的民族工作取得的最大成就是走出了一条中国特色解决民族问题的正确道路.,"['正确', '错误']",['正确']
"实现中国式现代化,必须全面贯彻落实以人民为中心的发展思想,以铸牢中华民族共同体意识为主线,不断()和()党的民族工作,把民族团结进步事业作为基础性事业抓紧抓好,不断为推进中国式现代化汇聚各民族共识,凝聚全民族合力.","['加强', '深化', '改进', '改革']","['加强', '改进']"
"习近平总书记强调：“铸牢中华民族共同体意识是新时代党的民族工作的‘魂’,所有工作要向此聚焦.”()","['正确', '错误']",['错误']
"要增强对中华文化的认同,让各族群众自觉了解中华优秀传统文化的价值,确立起对中国特色社会主义文化的自信,使中华文化成为实现民族复兴的().","['强大精神支柱', '强大精神奠基', '强大精神基础', '强大精神支撑']",['强大精神支柱']
"习近平总书记强调,要坚持和完善民族区域自治制度,这是我国的一项基本政治制度.以下哪项不是民族区域自治制度的核心内容.","['自治权', '平等权', '发展权', '管理国家事务的权利']",['管理国家事务的权利']
民族工作的“两个共同”是共同团结奋斗、共同繁荣发展.,"['正确', '错误']",['正确']
铸牢中华民族共同体意识必须顺应中华民族()、()、()的发展大趋势,"['从历史走向未来', '从传统走向现代', '从多元凝聚为一体', '从单元走向多元']","['从历史走向未来', '从传统走向现代', '从多元凝聚为一体']"
下列选项中()指的是民族政策中的经济政策.,"['对于少数民族地区应该给予特别支持和帮助,在财政、税收、金融、产业等方面予以资金和政策上的支持', '对于人口较少的少数民族地区,应该采取措施鼓励生育,并采取措施保障少数民族人口的合法权益', '对于民族的文化遗产应该予以严格保护、传承和发扬,对于民族的传统艺术、文学、文化活动应该予以鼓励和推广', '对于少数民族地区应该加大教育投入,加强对少数民族教育的支持和帮助,鼓励和支持民族语言的教学和使用']","['对于少数民族地区应该给予特别支持和帮助,在财政、税收、金融、产业等方面予以资金和政策上的支持']"
"下列选项中,()是从事农业和最早栽培水稻且使用犁耕的民族,并有着比较完整的耕作体系的.","['土家族', '傣族', '黎族', '白族']",['傣族']
"社会主义社会各民族之间的团结,是以中国共产党的领导和我们党的团结为核心的,是以社会主义制度和祖国统一为基础的.","['正确', '错误']",['正确']
"铸牢中华民族共同体意识,就是要引导各族人民牢固树立休戚与共、荣辱与共、生死与共、()的共同体理念.","['患难与共', '廉耻与共', '生活与共', '命运与共']",['命运与共']
"中央民族工作会议强调,要形成党委统一领导、政府依法管理、统战部门牵头协调、民族工作部门履职尽责、()、全社会共同参与的新时代党的民族工作格局.","['各部门各负其责', '各部门分工协作', '各部门通力合作', '各部门协同配合']",['各部门通力合作']
肖公巴哈尔节是塔吉克族的传统节日.(),"['正确', '错误']",['正确']
民族团结是实现民族平等的政治基础.,"['正确', '错误']",['错误']
"改革开放特别是党的十八大以来,我们党强调中华民族大家庭、中华民族共同体、铸牢中华民族共同体意识等理念,既一脉相承又与时俱进.","['正确', '错误']",['正确']
"从整体形态看,各民族组成了完整的(),彼此(),中华民族是一个整体、一个大家庭,各民族都是中华民族大家庭中的不同成员,各民族一律平等.","['中华民族', '相互依存', '相互依赖、不可分割']","['中华民族', '相互依存']"
下列选项中指的是民族政策中的教育政策的是().,"['对于少数民族地区应该给予特别支持和帮助,在财政、税收、金融、产业等方面予以资金和政策上的支持', '对于人口较少的少数民族地区,应该采取措施鼓励生育,并采取措施保障少数民族人口的合法权益', '对于民族的文化遗产应该予以严格保护、传承和发扬,对于民族的传统艺术、文学、文化活动应该予以鼓励和推广', '对于少数民族地区应该加大教育投入,加强对少数民族教育的支持和帮助,鼓励和支持民族语言的教学和使用']","['对于少数民族地区应该加大教育投入,加强对少数民族教育的支持和帮助,鼓励和支持民族语言的教学和使用']"
"2021年中央民族工作会议内容非常丰富,涵盖对过去工作的总结、对当前形势的研判及().","['对世界的判断', '与周边国家的合作', '对未来工作的安排', '对时局的把握']",['对未来工作的安排']
