question,options,right_answer
当前维护世界和平的根本途径是,"['实行有效裁军和军控', '发挥联合国的维和作用', '加强国际干预', '反对霸权主义和强权政治']",['反对霸权主义和强权政治']
邓小平理论的精髓是,"['解放生产力,发展生产力', '解放思想,实事求是', '坚持四项基本原则', '“三个有利于”标准']","['解放思想,实事求是']"
"毛泽东第一次对实事求是的科学含义作出马克思主义界定,并把能否坚持实事求是提到有没有党性或党性纯不纯的高度,是在","['第一次国内革命战争期间', '第二次国内革命战争期间', '抗日战争期间', '第三次国内革命战争期间']",['抗日战争期间']
社会和谐的基本条件是：,"['和谐文化', '公平正义', '激发社会活力', '制度建设']",['公平正义']
党的十六大是在我国开始实施社会主义现代化建设()战略部署的新形势下召开的,"['第一步', '第二步', '第三步', '第四步']",['第三步']
毛泽东在晋绥干部会议上的讲活中提出的土改总路线和总政策是①.依靠贫农②.团结中农③.限制富农④.有步骤地、有分别地消灭封建剥削制度⑤.发展农业生产,"['①②④⑤', '②③④⑤', '③④⑤', '①②③']",['①②④⑤']
社会主义社会发展的目的是,"['改革', '发展', '稳定', '自立']",['发展']
"新中国建立以来的30年最大的建设成就,是基本建立了独立的、比较完整的工业体系和国民经济体系,从根本上解决了工业化中“从无到有”的问题.","['对', '错']",['对']
毛泽东认为社会主义社会基本矛盾的特点是,"['相适应', '相矛盾', '又相适应又相矛盾', '不相适应也不相矛盾']",['又相适应又相矛盾']
影响当代世界发展的主要障碍是,"['国际经济旧秩序', '强权政治', '恐怖主义', '国际新秩序']",['国际经济旧秩序']
"进入20世纪90年代,我国对外开放进入了一个新的发展阶段,其显著特点是","['技术引进从注重硬件发展到注重软件', '从兴办经济特区发展到开放沿海港口城市', '从吸收利用外资发展到扩大国际劳务合作和跨国经营', '形成了全方位、多层次、宽领域的对外开放格局']",['形成了全方位、多层次、宽领域的对外开放格局']
市场经济必然带来道德沦丧.(),"['对', '错']",['错']
人的发展是经济社会发展的,"['手段', '目的', '要求', '需要']",['目的']
建设中国特色社会主义文化的重要意义是①现代化建设的重要内容②凝聚和激励全国各族人民的重要力量③、综合国力的重要标志④为现代化建设提供智力支持、精神动力和思想保证,"['①②③④', '①③④', '②③④', '①②③']",['①②③④']
建设资源节约型、环境友好型社会的一个重要途径,"['发展循环经济', '发展绿色经济', '强调国民幸福指标', '发展知识经济']",['发展循环经济']
"某县委要求全县群众干部一心一意谋发展,“不为失败找借口,只为成功找办法”这从一个侧面体现了中国共产党().","['发扬民主,不断完善党的执政方式', '与时俱进,保持党的先进性', '紧紧抓住了党执政兴国的第一要务', '履行组织经济建设的职能']",['紧紧抓住了党执政兴国的第一要务']
我国新的社会阶层包括①.个体户、私营企业主②.自由职业者③.知识分子④.受聘于外资企业的管理技术人员,"['①②③', '①②③④', '①②④', '②③']",['①②④']
2005年胡锦涛同志提出要构建社会主义和谐社会.社会主义和谐社会的主要特征是民主法治以及：①公平正义；②诚信友爱；③充满活力；④安定有序；⑤人与自然和谐相处,"['①②③', '①②③④', '①②③④⑤', '①⑤']",['①②③④⑤']
"邓小平的“台阶式”发展思想,难免会造成经济的大起大落.","['对', '错']",['错']
中国人民政治协商会议是①民主党派的联合组织②国家的权力机关③爱国统一战线组织④共产党领导的多党合作和政治协商制度的重要组织形式⑤有中国特色社会主义政治体制的重要组成部分,"['①②③④⑤', '③④⑤', '①②③', '②③④']",['③④⑤']
“实践是检验真理的唯一标准”的大讨论①为实现党的思想路线的拨乱反正奠定了基础②打破了长期盛行的教条主义和个人崇拜③是十一届三中全会实现伟大转折的思想先导④结束了十年动乱,"['①②③④', '①③', '①②', '①②③']",['①②③']
民族区域自治制度的关键是,"['以聚居区为基础', '建立自治地方', '设立自治机关', '行使自治权']",['设立自治机关']
"毛泽东指出,近代中国社会阶级结构是“两头小中间大”,“两头”指的是①无产阶级②地主大资产阶级③农民④城市小资产阶级⑤其它中间阶级","['①④', '①②', '①②③', '③④']",['①②']
第一次把社会主义初级阶段作为建设中国特色社会主义的全局性问题加以把握的是,"['《关于建国以来党的若干历史问题的决议》', '十二大报告', '《关于社会主义精神文明建设指导方针的决议》', '十三大报告']",['十三大报告']
"我党历来十分重视理论联系实际的原则,江泽民把贯彻理论联系实际的原则提到","['重大理论问题的高度', '重大实践问题的高度', '重大政治问题的高度', '重大思想认识问题的高度']",['重大政治问题的高度']
我国外交政策的宗旨是,"['取长补短、求同存异', '建立国际新秩序', '和平共处五项基本原则', '维护世界和平、促进共同发展']",['维护世界和平、促进共同发展']
堪称我国人民民主专政的坚强柱石的是,"['工人', '农民', '工农联盟', '人民解放军']",['人民解放军']
"1978年,邓小平支持领导的实践是检验真理的唯一标准的大讨论,具体是针对的问题是","['“两个凡是”', '“以阶级斗争为纲”', '苏联模式', '农村家庭联产承包责任制']",['“两个凡是”']
"2010年10月,中共十七届五中全会审议通过的《中共中央关于制定国民经济和社会发展第十二个五年规划的建议》强调,在当代中国,坚持发展是硬道理的本质要求,就是坚持科学发展,更加注重：","['1.以人为本2.全面协调可持续发展3.统筹兼顾4.保障和改善民生,促进社会公平正义', '1.以人为本2.全面协调可持续发展3.保障和改善民生,促进社会公平正义', '1.以人为本2.全面协调可持续发展3.统筹兼顾', '1.全面协调可持续发展2.统筹兼顾3.保障和改善民生,促进社会公平正义']","['1.以人为本2.全面协调可持续发展3.保障和改善民生,促进社会公平正义']"
“一国两制”的含义就是,"['结束敌对状态,共同繁荣', '一个国家、两个政府', '一个国家、两个政党', '一个国家、两种制度']",['一个国家、两种制度']
马克思主义中国化的实质是(),"['将马克思主义运用到中国', '将马克思主义照搬到中国', '将马克思主义基本原理同中国具体实际相结合', '把马克思主义作为中国革命和建设的指导思想']",['将马克思主义基本原理同中国具体实际相结合']
统一战线中的核心问题是,"['力争多数的问题', '平等协商的问题', '党的领导问题', '参政议政问题']",['党的领导问题']
"邓小平指出：“计划经济不等于社会主义,资本主义也有计划；市场经济不等于资本主义,社会主义也有市场.”这个论断说明①计划与市场都是经济手段②计划与市场都是资源配置的方式,本身不具有制度性③计划与市场可在同一社会中共存,共同发挥作用④市场经济可以与社会主义制度相结合","['①③', '②④', '①②③', '①②③④']",['①②③④']
党的基本路线的主要内容是,"['以经济建设为中心', '坚持四项基本原则、坚持改革开放', '建设富强、民主、文明、和谐的社会主义现代化国家', '“一个中心,两个基本点”']","['“一个中心,两个基本点”']"
深化文化体制改革的重点是(&nbsp;&nbsp;),"['健全政策法规', '树立新的文化发展观', '体制机制创新', '政府职能转变']",['体制机制创新']
实事求是思想路线的基本内容包括()①一切从实际出发②一切从观念出发③理论联系实际④实事求是⑤坚持实践是检验真理的唯一标准,"['②③④⑤', '①③④⑤', '①②③⑤', '①②⑤']",['①③④⑤']
"毛泽东在《〈共产党人〉发刊词》中论述了中国共产党在中国革命中的三个基本问题,即().","['实事求是、群众路线和独立自主问题', '土地革命、武装斗争和根据地建设问题', '统一战线、武装斗争和党的建设问题', '新民主主义的政治、经济和文化问题']",['统一战线、武装斗争和党的建设问题']
"“一国两制”构想的提出,是从解决","['台湾问题开始', '香港问题开始', '澳门问题开始', '香港和澳门问题开始']",['台湾问题开始']
"据统计,《喜羊羊与灰太狼》的电影票房过亿元,漫画书发行量突破200万册,销售额超过2000万元,相应的电影图书、玩具产品等衍生品也陆续跟进,成为文化产业扩展经济链条、发挥乘数效应的最佳例证.这表明①文化决定着社会的生产方式②文化生产力在现代经济的总体格局中的作用越来越突出③文化与经济相互交融④文化建设已成为我国社会主义现代化建设的重要战略任务","['①②', '①④', '②③', '③④']",['②③']
"2011年4月,巴西、俄罗斯、印度、中国和南非五国在中国三亚举行的金砖国家领导的第三次会晤,就金砖国家合作机制及共同关心的国际和地区问题进行了坦诚深入的讨论达成广泛共识.金砖国家合作机制①以成员国利益完全一致为基础②是建立国际新秩序的重要力量③是当今时代主题发展变化的产物④是新兴市场国家对话合作的平台","['①③', '①④', '②④', '③④']",['②④']
"社会主义制度为生产力的发展开辟了道路,因此,我国可以在很短时间内赶上或超过西方发达国家.","['对', '错']",['错']
"贫穷不是社会主义,富裕就是社会主义.","['对', '错']",['错']
"关于世界是怎样存在的问题,形成了两种不同的观点,分别是(&nbsp;)","['唯物主义和唯心主义', '辩证法和形而上学', '可知论和不可知论', '唯物史观和唯心史观']",['辩证法和形而上学']
新民主主义革命的对象是①帝国主义②封建主义③官僚资本主义④资产阶级.,"['①②③', '②③④', '①③④', '①②④']",['①②③']
1956年党的“八大”指出今后我国社会的主要矛盾是,"['无产阶级与资产阶级的矛盾', '地主阶级与农民阶级的矛盾', '人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾', '生产力与上层建筑还不适应的矛盾']",['人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾']
社会主义道德的核心是(&nbsp;),"['为人民服务', '集体主义', '诚实守信', '爱国主义']",['爱国主义']
中国谋求发展的一贯宗旨和原则是努力实现①和平的发展②开放的发展③合作的发展④和谐的发展,"['①②', '①②③', '②③④', '①②③④']",['①②③④']
"邓小平在批判“两个凡是”错误观点时,提出必须","['完整地正确地理解毛泽东思想', '正确地理解毛泽东思想', '完整地理解毛泽东思想', '完整地准确地理解毛泽东思想']",['完整地准确地理解毛泽东思想']
“子罕不受玉”启示我们广大党员干部应该(),"['保持清正廉洁,树立良好道德形象', '密切联系群众,切实履行政府职能', '加强党的建设,发挥领导核心作用', '自觉接受监督,提高依法行政水平']","['保持清正廉洁,树立良好道德形象']"
三个代表重要思想的本质是(&nbsp;&nbsp;),"['执政为民', '改革开放', '发展科技和教育', '发展民主']",['执政为民']
"当前和今后一个时期,我国促进经济增长其中由主要依靠增加物质资源消耗向","['主要依靠技术进步、管理创新、出口拉动转变', '主要依靠产业结构调整、出口拉动扩大内需转变', '主要依靠投资、消费、出口协调拉动', '主要依靠科技进步、劳动者素质提高、管理创新转变']",['主要依靠科技进步、劳动者素质提高、管理创新转变']
“反分裂国家法”,"['首次以国家大法形式宣示了中国人民维护国家统一的决心', '主要针对藏独分子', '主要针对疆独分子', '是建国初期制定的一部专门法']",['首次以国家大法形式宣示了中国人民维护国家统一的决心']
我国社会主义改造全面推开是从()开始的,"['1952年', '1953年', '1951年', '1956年']",['1953年']
新民主主义的经济纲领是没收地主的土地归,"['国家所有', '农民所有', '资本家所有', '工人所有']",['农民所有']
"十七大报告指出,发展中国特色社会主义的一大法宝是","['实事求是', '改革开放', '解放思想', '坚持党的领导']",['解放思想']
从新民主主义向社会主义转变的标志是,"['中华人民共和国的成立', '过渡时期总路线的提出', '社会主义改造基本完成', '第一个五年计划的提前完成']",['社会主义改造基本完成']
我国的人民代表大会制度是()①我国人民管理自己国家的政权组织形式②人民当家作主的政治制度③直接体现我国人民当家作主的社会主义性质④建立其他有关的国家管理制度的基础,"['①②③④', '①②③', '②③④', '①③④']",['①②③④']
"二战以来,导致世界动荡不安的主要根源是","['霸权主义', '恐怖主义', '霸权主义和强权政治', '强权政治']",['霸权主义和强权政治']
"对一切违法犯罪行为都要按照“以事实为依据,以法律为准绳”的原则,给予惩处,概括为：","['违法必究', '有法可依', '有法必依', '执法必严']",['违法必究']
"我国社会主义农业改造中,党在农村的依靠力量是","['贫农', '中农', '贫农,下中农', '雇农']","['贫农,下中农']"
毛泽东指出人民民主专政的职能是()①镇压国内敌对阶级和敌对势力的反抗与破坏②防御国家外部敌人颠覆和侵略③组织和保障社会主义经济建设④扩大和发展社会主义民主⑤不断提高人民的生活水平,"['①②③', '①②③④', '①③④', '①②③④⑤']",['①②③']
"国家出台助学贷款既是运用金融手段支持教育事业的发展,又有利于在青年学子中加强信用教育,加快我国信用体系的建立.()","['对', '错']",['对']
马克思主义中国化经历的三个历史时期是(&nbsp;)：①革命②改造③建设④改革,"['①②③', '①③④', '①③', '②③④']",['①③④']
意识只从其起源看是().,"['自然界发展的产物', '社会历史发展的产物', '人脑的机能和属性', '物质世界的主观映象']",['社会历史发展的产物']
经济全球化的主要特征是,"['世界多极化在曲折中发展', '世界贸易组织的建立', '生产、分配、交换和消费的全球化', '各种区域性经济合作组织的建立']",['生产、分配、交换和消费的全球化']
社会主义思想道德建设的核心是(&nbsp;),"['社会公德', '职业道德', '为人民服务', '集体主义']",['为人民服务']
江泽民提出台湾问题不能无限期拖下去,"['是在十五大上', '是在十六大上', '是在十七大上', '是在建党八十周年纪念大会上']",['是在十六大上']
邓小平明确提出关于社会主义本质的著名论断的时间是：,"['1978年', '1980年', '1989年', '1992年']",['1992年']
"新民主主义社会存在多种经济成分,占绝对优势的是","['国营经济', '合作社经济', '个体经济', '私营经济']",['个体经济']
社会主义市场经济区别于资本主义市场经济的根本特征是,"['宏观调控间接化', '企业经营自主化', '多种分配方式并存', '以公有制为主体']",['以公有制为主体']
党的执政能力建设的总体目标之一是使党成为,"['以人为本的执政党', '科教兴国的执政党', '立党为公执政为民的执政党', '创新发展的执政党']",['立党为公执政为民的执政党']
“两型社会”是指,"['物质文明和精神文明', '资源节约型社会和环境友好型社会', '城市化和新农村建设', '共同富裕和民族复兴']",['资源节约型社会和环境友好型社会']
从一般原理推论出个别结论的思维方法是().,"['归纳方法', '演绎方法', '分析方法', '综合方法']",['演绎方法']
判断改革和一切工作是非得失的标准,"['是姓“资”还是姓“社”', '是独立自主还是自力更生', '是友好往来还是闭关自守', '是“三个有利于”的判断标准']",['是“三个有利于”的判断标准']
判断一种生产关系是否优越的主要标准是看它,"['是否适应了上层建筑发展的要求', '是否扩大了公有制经济的比重', '是否适应了生产力', '是否建立了市场经济体制']",['是否适应了生产力']
我国所有制结构存在多样性的根本原因是,"['生产力水平的多层次性的要求', '社会主义本质的内在属性', '发展社会主义市场经济的需要', '各种所有制形式的性质不同']",['生产力水平的多层次性的要求']
在党和国家工作中的指导地位不断得到巩固的是,"['“三个代表”重要思想', '邓小平理论', '马克思主义', '毛泽东思想']",['马克思主义']
"1984年10月,党的十二届三中全会通过的《中共中央关于经济体制改革的决定》首次提出的新概念是","['宏观调控的市场经济', '计划与市场在内的统一的经济', '以计划调节为主、市场调节为辅的经济', '公有制基础上的有计划的商品经济']",['公有制基础上的有计划的商品经济']
东欧剧变和苏联解体的直接原因是(&nbsp;&nbsp;),"['苏东社会主义制度存在着缺陷', '苏东经济和政治体制存在着种种弊端', '西方国家的和平演变', '苏共领导人的错误路线造成的政治动乱']",['苏共领导人的错误路线造成的政治动乱']
可持续发展是指,"['发展的进程要有持久性、连续性', '发展的规模要有全面性、深入性', '发展的道路要有一致性', '全面发展']",['发展的进程要有持久性、连续性']
"建设社会主义核心价值体系,最根本的是","['树立社会主义荣辱观', '弘扬改革创新的时代精神', '加强教育科学文化建设', '坚持马克思主义的指导地位']",['坚持马克思主义的指导地位']
"重视社会组织建设和管理,社会组织具有①提供服务②反映诉求③规范行为的积极作用","['①③', '①②③', '②③', '①②']",['①②③']
"毛泽东在他的建党学说中,着重强调党的()","['政治建设', '组织建设', '思想建设', '文化修养']",['思想建设']
"解放思想、实事求是的“宣言书”是①《解放思想实事求是,团结一致向前看》②邓小平在中共十二大的开幕词③邓小平南方谈话④邓小平在理论务虚会上的讲话","['②③④', '①③', '①④', '①②③④']",['①③']
我国人民民主专政的实质是,"['共产党专政', '无产阶级专政', '工农联盟专政', '新民主主义专政']",['无产阶级专政']
教育科学文化建设要解决的是：,"['在全社会形成共同理想和精神支柱问题', '提高整个民族的科学文化素质问题', '全体公民树立正确的人生观、价值观、世界观的问题', '中国特色的文化建设的方向问题']",['提高整个民族的科学文化素质问题']
曾明确指出“社会实践是检验真理的唯一标准”的是,"['陈云', '周恩来', '毛泽东', '刘少奇']",['毛泽东']
"“三个代表”重要思想与马克思列宁主义、毛泽东思想、邓小平理论有着共同的理论品格,这就是(&nbsp;)","['实事求是', '解放思想', '与时俱进', '独立自主']",['与时俱进']
"一个民族进步的灵魂,一个国家兴旺发达不竭的动力,一个政党永葆生机的源泉是","['创新', '改革', '革命', '发展']",['创新']
"我国实行对外开放,从根本上说是由于","['我国生产力不发达,经济、科技落后', '生产社会化和商品经济、市场经济发展的必然结果', '我国将长期处于社会主义初级阶段', '经济全球化的结果']",['生产社会化和商品经济、市场经济发展的必然结果']
初级阶段的基本纲领内容是建设(&nbsp;&nbsp;&nbsp;)的中国特色社会主义,"['团结、改革、发展、稳定、', '富强、民主、文明、和谐', '经济、政治、文化、社会', '物质、精神、政治、社会']",['富强、民主、文明、和谐']
我国人民代表大会制度的政治基础、根本原则和核心内容是,"['依法治国', '党的领导', '社会主义的自由', '国家的一切权力属于人民']",['国家的一切权力属于人民']
"中国共产党的十六大报告指出,中国共产党坚持先进性和增强创造力的决定性因素是","['坚持党的思想路线,解放思想、实事求是、与时俱进', '搞清楚什么是社会主义以及如何建设社会主义', '坚持党的基本路线和基本纲领', '加强和改进新形势下党的群众工作,巩固党的执政基础']","['坚持党的思想路线,解放思想、实事求是、与时俱进']"
"我国社会主义初级阶段是不可逾越的,这主要取决于","['市场经济的不可逾越性', '生产力发展的不可逾越性', '生产关系发展的不可逾越性', '文化传统的不可逾越性']",['生产力发展的不可逾越性']
"中共G市市委2011年颁发市委政治协商规程,规定重大政策在决策之前需经政治协商,在实施该地区改革发展规划纲要的专题协商中,该市政协共提出了77条意见,市政府采纳54条,部分采纳18条,其余5条给出了不采纳的决定,这一做法表明()(1)政治协商是人民政协的重要职能之一(2)政治协商是科学民主决策的重要环节(3)人民政协拥有重大政策的决定权(4)政治协商的方式就是政协提出批评建议","['(1)(2)', '(1)(3)', '(2)(4)', '(3)(4)']",['(1)(2)']
"建设有中国特色社会主义文化,就要()","['坚持用邓小平理论、“三个代表”重要思想和科学发展观为指导,深入贯彻落实习近平新时代中国特色社会主义思想', '努力提高全民族的思想道德素质和教育科学文化水平', '坚持为人民服务、为社会主义服务的方向', '以上都是']",['以上都是']
"建设中国特色社会主义必须坚持全心全意依靠工人阶级的方针,这是由我们党和国家的性质、工人阶级的特点及其历史地位决定的因为()","['我国是一个由共产党领导的社会主义国家,中国共产党的工人阶级先锋队性质决定了工人阶级在国家的领导地位', '中国工人阶级是近代以来我国社会发展特别是社会化大生产发展的产物', '中国先进生产力和先进生产关系的代表', '以上都是']",['以上都是']
构建社会主义和谐社会的根本出发点和落脚点是,"['坚持科学发展', '坚持改革开放', '坚持民主法治', '坚持以人为本']",['坚持以人为本']
近代中国社会的主要矛盾是①帝国主义和中华民族的矛盾②资产阶级和无产阶级的矛盾③地主阶级和农民阶级的矛盾④封建主义和人民大众的矛盾,"['①③', '②④', '①②', '①④']",['①④']
"中国革命必须走农村包围城市的道路,其主要依据是()①中国是一个半殖民地半封建大国,经济政治发展的不平衡；②农村人口占全国人口的绝大多数,农民是革命的主力军；③大革命失败的深刻教训；④敌强我弱的形势,广大农村是敌人统治的薄弱环节；⑤列宁关于民族殖民地问题的理论.","['①②③', '①②④', '①③④', '①②③④⑤']",['①②④']
我国经济社会发展的一个重要原则是,"['统筹区域发展,缩小区域发展差距', '优先发展东部地区,带动西部地区发展', '由沿海地区向西部地区发展', '由沿海地区向内陆地区发展']",['由沿海地区向西部地区发展']
"()的文化,是指人类在改造自然和改造社会的过程中所创造的物质财富和精神财富的总和","['先进的', '中国的', '广义的', '狭义的']",['先进的']
市场经济和计划经济(&nbsp;&nbsp;),"['前者是效益经济,后者是速度经济', '前者是资源配置方式,后者是利益配置方式', '前者是社会化的,后者是非社会化的', '两者都是资源配置方式']",['两者都是资源配置方式']
"国家宏观调控有直接调控和间接调控两种方式,间接调控的特征是①主要依靠经济手段进行调控②计划不再是宏观调控的手段③不直接干预企业日常的生产经营活动④法律规范是宏观调控的重要手段","['①②③④', '①②③', '①③④', '②③④']",['①③④']
社会主义和谐社会必须牢固树立和全面贯彻,"['科学发展观', '两个基本点', '党的基本路线', '党的基本纲领']",['科学发展观']
构建社会主义和谐社会应当①推进经济政治文化和社会体制的改革和创新②坚持社会主义市场经济的改革方向③适应社会发展要求,"['①③', '②③', '①②③', '①②']",['①②③']
"无产阶级专政在不同的国家有不同的形式.中国的人民民主专政实质是无产阶级专政,这是因为人民民主专政的①领导力量是工人阶级②历史使命是建立社会主义,实现共产主义③政体是多党合作制度④国家结构是单一制⑤阶级基础是工农联盟","['①②③', '①②⑤', '①②③④', '①②③④⑤']",['①②⑤']
"党的十七大报告指出,社会建设的重点是(&nbsp;&nbsp;)","['发展经济', '繁荣文化', '改善民生', '健全法制']",['改善民生']
"党的十七大报告指出,深入贯彻落实科学发展观,必须坚持(&nbsp;)①把发展成为党执政兴国的第一要务②以人为本③全面协调可持续发展④统筹兼顾","['①②③', '②③④', '①③④', '①②③④']",['①②③④']
社会主义改革的目的是,"['改革', '稳定', '发展', '自立']",['发展']
"早在民主革命时期,()就指出：“认清中国的国情,乃是认清一切革命问题的基本的根据.”","['刘少奇', '毛泽东', '周恩来', '邓小平']",['毛泽东']
当今世界的头等大事是,"['在和平稳定中谋求发展', '在和平中求稳定', '在稳定中求发展', '在发展中求和平']",['在和平稳定中谋求发展']
新形势下两岸同胞最重要、最紧迫的任务是,"['反对和遏制“台独', '推进两岸“三通”', '促进两岸政治谈判', '回到“九二共识”']",['反对和遏制“台独']
"近代中国历史发展的客观规律,决定了中国新民主主义社会必然走向","['封建主义社会', '资本主义社会', '社会主义社会', '共产主义社会']",['社会主义社会']
"加入世贸组织后,我国以认真负责的态度全面履行承诺,包括①降低关税②减少非关税壁垒③逐步开放服务业市场④加快知识产权立法⑤免征关税","['①②③', '③④⑤', '②③④', '①②③④']",['①②③④']
"江泽民对新形势下坚持实事求是思想路线提出了新要求,强调马克思主义最重要的理论品质是","['实事求是', '解放思想', '与时俱进', '求真务实']",['实事求是']
改革是社会主义社会的,"['根本动力', '直接动力', '最终决定力量', '间接动力']",['直接动力']
