question,options,right_answer
义和团运动首先兴起于(),"['山东', '直隶', '天津', '北京']",['山东']
"1886年,()在福建创办的福州船政局,附设有船政学堂,是当时国内最大的造船厂.","['曾国藩', '左宗棠', '李鸿章', '张之洞']",['左宗棠']
我国在社会主义改造中对资本主义工商业实行全行业公私合营后采取的赎买政策是(),"['“四马分肥”', '定股定息', '加工订货、统购包销', '国家资本主义']",['定股定息']
近代中国形成军阀割据局面的根本原因是()①由于中国主要是地方性的农业经济而没有形成统一的资本主义经济市场②由于中国半殖民地半封建社会性质③由于中国幅员辽阔、地域差异大④由于帝国主义国家在中国采取划分势力范围的分裂剥削政策.,"['①②③', '①④', '③④', '①②③④']",['①④']
"1948年1月,公开确认中国共产党“值得每个爱国的中国人赞佩”的民主党派是()","['中国民主同盟', '中国农工民主党', '中国民主促进会', '中国国民党革命委员会']",['中国民主同盟']
在中国大地上率先举起马克思主义旗帜的是(),"['李大钊', '陈独秀', '鲁迅', '蔡元培']",['李大钊']
"1935年,北平学生举行的抗日救亡运动是()","['五四运动', '一二·九运动', '五卅运动', '一二·三○运动']",['一二·九运动']
"关于中国远征军的表述正确的有()①1942年由国民政府组成入缅甸作战的军队②在东吁保卫战中歼灭日军5000多人③第200师师长戴安澜在缅北殉国④1942年4月,解救出被日军围困的英军7000多人","['①②③④', '②③④', '②③', '①②④']",['①②③④']
1948年1月在香港宣告正式成立的民主党派是().,"['中国民主政团同盟', '中国国民党革命委员会', '中国民主建国会', '中国民主促进会']",['中国国民党革命委员会']
认识中国近代一切社会问题和革命问题的最基本的依据是认识(),"['中国近代社会半殖民地半封建的性质', '中国近代社会近代化的历史过程', '中国近代民族民主革命的性质', '中国近代社会经济结构的变化过程']",['中国近代社会半殖民地半封建的性质']
.1947年二二八起义发生在(),"['上海', '南京', '香港', '台湾']",['台湾']
2005年召开的中共十六届五中全会明确提出了,"['“三个代表”重要思想', '科学发展观', '构建社会主义和谐社会战略任务', '建设社会主义新农村的战略任务']",['建设社会主义新农村的战略任务']
"1940年,八路军对华北日军发动的大规模进攻战役是()","['平型关战役', '雁门关战役', '阳明堡战役', '百团大战']",['百团大战']
"20世纪初,资产阶级革命派著书立说,使民主革命思想迅速地传播开末.其中,章炳麟的歌颂革命是“启迪民智,除旧布新”的良药,强调中国人有能力建立民主共和制度的著作是()","['《革命军》', '《驳康有为论革命书》', '《猛回头》', '《警世钟》']",['《驳康有为论革命书》']
近代中国人数最多的被剥削阶级是(),"['农民阶级', '工人阶级', '小资产阶级', '无产阶级']",['农民阶级']
"1932年2月,中国东北全境沦陷.日本侵占了的中国领土达()","['120万平方公里', '110万平方公里', '210万平方公里', '300万平方公里']",['110万平方公里']
"孙中山认为,西方国家贫富不均,劳资矛盾尖锐,“社会革命将其不远”,中国应该防患于未然,因此他提出了()","['民粹主义', '民族主义', '民权主义', '民生主义']",['民生主义']
"“灵台无计逃神矢,风雨如磐暗故园,寄意寒星荃不察,我以我血荐轩辕.”这首诗表达了爱国者满腔悲愤的心情.这首诗写作的时间最有可能的是()","['19世纪40年代', '19世纪50年代', '20世纪初', '20世纪30年代']",['20世纪初']
"关于抗日民族统一战线形成的表述中正确的是()①西安事变的和平解决是初步形成的标志②日本开始放慢了侵华进程使得国共矛盾缓和③八路军、新四军的组建是正式形成的标志④1937年9月国民党公布国共合作宣言,标志着抗日民族统一战线正式建立","['①④', '①②③', '①②③④', '③④']",['①④']
"“用大刀、肉体和联军相搏,虽然被联军打死了几万人,伤亡枕籍,还是前仆后继,其勇锐之气殊不可当,真是令人惊奇佩服.所以经过那次血战之后,外国人才知道中国还有民族思想,这种民族是不可消灭的”.这句话反映的历史事件是()","['太平天国运动', '三元里人民的抗英斗争', '黄花岗起义', '义和团运动']",['义和团运动']
"章炳麟的《驳康有为论革命书》一文,在当时的积极影响主要是()","['宣传了反帝反封建的主张', '批判了改良主义,宣传革命', '论证了反满与反封建的区别', '指明了推翻清朝后的建国方略']","['批判了改良主义,宣传革命']"
晚清政府实行“新政”的目的是()①取得外国列强信任②平息国内日益高涨的民怨③安抚统治阶级内部各派④拉拢民族资产阶级改良派,"['③④', '②③', '①②③④', '①②']",['①②③④']
中国武装斗争的实质是().,"['农民战争', '工人阶级领导的农民战争', '工人暴动', '工人罢工']",['工人阶级领导的农民战争']
三民主义的核心是(),"['民族主义', '民权主义', '民生主义', '创立民国']",['民权主义']
"中央红军主力开始长征后,()等率领中央根据地留下部分红军在南方坚持进行艰苦的游击战争①项英②陈毅③寻淮洲④叶挺","['①②', '②④', '②③', '①④']",['①②']
"在我国农业合作化过程中,具有完全社会主义性质的经济组织形式是()","['互助组', '初级农业生产合作社', '高级农业生产合作社', '人民公社']",['高级农业生产合作社']
"下列不平等条约中,赔款数额最多的是()","['《南京条约》', '《北京条约》', '《马关条约》', '《辛丑条约》']",['《辛丑条约》']
中国共产党把抗日游击战争放在战略地位加以考察的根据是(),"['中国的抗日战争是一场持久战', '中国共产党领导的八路军、新四军的存在', '中国是一个处于进步时代的大而弱的国家', '国民党正面战场的溃退,日军占地甚广']",['中国是一个处于进步时代的大而弱的国家']
辛亥革命失败的根本原因是(),"['帝国主义的破坏', '南京临时政府的涣散和软弱', '袁世凯的政治欺骗和军事压力', '资产阶级的软弱性和妥协性']",['资产阶级的软弱性和妥协性']
"新中国成立后的头三年,全国人民集中力量要完成的主要任务中不包括()","['完成民主革命遗留任务', '改造资本主义工商业', '恢复国民经济', '争取国家财政经济状况的基本好转']",['改造资本主义工商业']
五四运动的性质是(),"['无产阶级社会主义革命', '学生爱国运动', '工人和学生的革命运动', '资产阶级民主革命']",['工人和学生的革命运动']
近代中国社会中最革命的阶级是(),"['工人阶级', '农民阶级', '小资产阶级', '民族资产阶级']",['工人阶级']
"宋庆龄曾为哪位革命家题词：“有'秋风秋雨愁煞人'名句,能跨马挟枪,曾东渡日本,志在革命,千秋万代传侠名.”()","['秋瑾', '蔡锷', '唐群英', '林觉民']",['秋瑾']
1895年签订的将中国领土台湾割让给日本的不平等条约是(),"['《南京条约》', '《北京条约》', '《天津条约》', '《马关条约》']",['《马关条约》']
"1949年3月,中国共产党在西柏坡召开的重要会议是()","['中共六大', '中共六届六中全会', '中共七大', '中共七届二中全会']",['中共七届二中全会']
"发表《仁学》批判三纲五常的伦理道德,宣传西方的天赋人权,并且有反清思想萌芽的是()","['谭嗣同', '严复', '孙中山', '袁世凯']",['谭嗣同']
以下各项为李大钊所作的有()①《民众的大联合》②《庶民的胜利》③《我的马克思主义观》④《法俄革命之比较观》,"['①②③', '②③④', '③④', '①②③④']",['②③④']
"在大革命失败后,中国革命之所以能够得到坚持和发展,根本的原因是()","['工作重心转移到农村', '创建了新型的人民军队', '取得了反“围剿”的胜利', '领导农民进行了土地革命']",['领导农民进行了土地革命']
三民主义是指()①民族主义②民国主义③民权主义④民生主义,"['①③④', '①②③', '①②③④', '③④']",['①③④']
"毛泽东指出,中国共产党在中国革命中战胜敌人主要的法宝是()①土地革命②统一战线③武装斗争④党的建设⑤独立自主","['①②③', '③④⑤', '①②⑤', '②③④']",['②③④']
近代中国第一个领导资产阶级革命的全国性政党是(),"['兴中会', '华兴会', '保国会', '中国同盟会']",['中国同盟会']
"李鸿章曾镇压太平军和捻军起义,签订不平等的《中日马关条约》和《辛丑条约》,但他做了一件最为典型的事,是指()","['他掀起“向西方学习”的新思潮', '他是洋务运动的主要实践者', '他与顽固派进行辩论', '他率兵收复新疆']",['他是洋务运动的主要实践者']
表明蒋介石彻底叛变革命的是(),"['中山舰事件', '四—二”反革命政变', '“整理党务案”', '七—五”反革命政变']",['四—二”反革命政变']
最早对兴办洋务的指导思想作出完整表述的人是(),"['冯桂芬', '马建忠', '王韬', '郑观应']",['冯桂芬']
"毛泽东向全世界宣告：“占人类总数四分之一的中国人从此站立起来了”,是在().","['中华人民共和国开国大典上', '中国人民政治协商会议第一届全体会议开幕词中', '《论人民民主专政》中', '中国人民政治协商会议第一届全体会议闭幕词中']",['中国人民政治协商会议第一届全体会议开幕词中']
表明第一次国共合作全面破裂的事件是：(),"['中山舰事件', '整理党务案', '“四一二”反革命政变', '“七一五”反革命政变']",['“七一五”反革命政变']
"19世纪70年代,提出大力发展民族工商业,与西方国家进行“商战”的是()","['魏源', '王韬', '郑观应', '严复']",['郑观应']
"提出按照“八个坚持、八个反对”要求,把党的作风建设提高到一个新水平的文献是()","['《关于加强党同人民群众联系的决定》', '《关于加强和改进党的作风建设的决定》', '《关于国有企业改革和发展若干重大问题的决定》', '《关于加强社会主义精神文明建设若干重要问题的决议》']",['《关于加强和改进党的作风建设的决定》']
1946年重庆政协会议最具实质性的意义是(),"['通过了有利于人民的政协会议', '改组了国民政府', '使人民获得了一些民主权利', '否定了国民党的独裁和内战政策']",['否定了国民党的独裁和内战政策']
1947年“二二八起义”发生在().,"['上海', '南京', '香港', '台湾']",['台湾']
"20世纪20年代后期30年代前期,中共党内的主要错误倾向是()①把马克思主义教条化②把共产国际决议神圣化③把苏联经验神圣化④把中国革命经验神圣化⑤把马克思主义庸俗化","['①②③④', '①②③', '①②', '③④']",['①②③']
中国共产党历史上第一个开展自然科学教学与研究的专门机构是(),"['中国人民抗日军政大学', '陕北公学', '鲁迅艺术学院', '延安自然科学院']",['延安自然科学院']
"1861年,清政府设立总理洋务的中央机关是()","['外交部', '总理各国事务衙门', '内务府', '军机处']",['总理各国事务衙门']
近代中国社会的性质是(),"['封建社会', '半殖民地半封建社会', '半资本主义社会', '资本主义社会']",['半殖民地半封建社会']
"武昌起义成功后,建立的政权是()","['湖北军政府', '湖北咨议局', '中华民国政府', '南京临时政府']",['湖北军政府']
长征过程中红军会师和地点主要指().①红一、四方面军懋功会师②红二、四方面军甘孜会师③中央、陕甘支队和红十五军团吴起镇会师④三大主力会宁会师,"['①②③', '②③④', '①②③④', '①③④']",['①②③④']
中国封建社会的基本特点是()①封建土地所有制占主导地位②实行高度中央集权的封建君主专制制度③以儒家思想为核心④推行族权和政权相结合的封建宗法等级制度,"['①②③', '②③④', '①②④', '①②③④']",['①②③④']
以下事件不属于“文革”时期与“左”倾错误进行斗争的是(),"['“一月革命”', '“二月逆流”', '邓小平全面整顿', '“四五”运动']",['“一月革命”']
"湖南湘乡人杨昌浚曾写诗：“大将筹边尚未还,湖湘子弟满天山.新栽杨柳三千里,引得春风度玉关.”诗中描写的历史事件应是()","['曾国藩镇压太平军', '左宝贵英勇抗敌', '冯子材镇南关大捷', '左宗棠收复新疆']",['左宗棠收复新疆']
"“百日维新”中,直接触及顽固派利益的措施有()","['提倡官民上书言事', '改革财政、编制国家预算结算', '撤并政府机构,裁汰冗员', '废除八股取士,改试策论']","['撤并政府机构,裁汰冗员']"
"1947年10月,被国民党当局宣布为“非法团体”的是()","['中国国民党革命委员会', '中国民主同盟', '中国民主建国会', '中国民主促进会']",['中国民主同盟']
太平天国农民战争爆发的标志是(),"['金田起义', '永安建制', '长沙战役', '南京定都']",['金田起义']
王明“左”倾冒险主义的主要特征是(),"['经验主义', '教条主义', '主观主义', '宗派主义']",['教条主义']
"1919年,李大钊发表了比较全面系统地介绍马克思学说的()","['《法俄革命之比较观》', '《Bolshevism的胜利》', '《我的马克思主义观》', '《科学的社会主义》']",['《我的马克思主义观》']
"毛泽东提出以乡村为中心的思想,初步形成农村包围城市、武装夺取政权的理论的著作是()","['《星星之火,可以燎原》', '《中国的红色政权为什么能够存在?》', '《井冈山的斗争》', '《反对本本主义》']","['《星星之火,可以燎原》']"
"1947年10月以后,爱国学生运动一再掀起高潮,并将希望寄托在人民解放战争的胜利上,主要口号改为().","['反饥饿', '反迫害', '反内战', '反倒退']",['反迫害']
抗日根据地“三三制”政权中的代表包括()①共产党员②非党左派进步分子③中间派④地方实力派,"['①②③', '②③', '②③', '①②③④']",['①②③']
"20世纪30年代,东北三省迅速沦陷敌手的主要原因是()","['日本侵略者蓄谋已久', '蒋介石执行不抵抗政策', '中国军队武器落后', '中国军队战术失当']",['蒋介石执行不抵抗政策']
《海国图志》和《资政新篇》有相似之处是都主张(),"['进行政治、经济、文化制度的改革', '向西方学习', '进行资产阶级思想启蒙运动', '在中国发展资本主义']",['向西方学习']
中国第一个资产阶级革命政党是(),"['兴中会', '中国同盟会', '中华革命党', '中国国民党']",['中国同盟会']
下列文献明确规定毛泽东思想为中国共产党指导思想的是(),"['中共“一大”通过的党纲', '中共“七大”通过的党章', '中共“八七”会议的决议', '中共遵义会议的决议']",['中共“七大”通过的党章']
"在中国共产党领导下,中国人民推翻了三座大山,于1949年成立了中华人民共和国,这标志着()","['社会主义制度的基本建立', '美国遏制中国政策的失败', '新民主主义革命的胜利', '社会主义三大改造的开始']",['新民主主义革命的胜利']
太平天国由盛而衰的转折点是(),"['永安建制', '北伐失利', '天京事变', '洪秀全病逝']",['天京事变']
外国侵略者控制中国政治的重要手段之一是(),"['赔款', '把持中国海关', '制造舆论', '进行宗教宣传']",['把持中国海关']
中国资产阶级领导的旧民主主义革命终结的标志是(),"['二次革命的失败', '护国运动的失败', '第一次护法运动的失败', '第二次护法运动的失败']",['第二次护法运动的失败']
"从1840年—1919年的80年间,中国在历次反侵略战争中失败的根本原因是()","['社会制度的腐败', '军事技术的落后', '西方列强的强大', '经济力量的薄弱']",['社会制度的腐败']
太平天国农民战争具有鲜明反封建意义的系统纲领是(),"['《原道醒世训》', '《天朝田亩制度》', '《资政新篇》', '《劝世良言》']",['《天朝田亩制度》']
"戊戌政变后,新政中被保留下来的只有()","['农工商总局', '京师大学堂', '译书局', '铁路矿务局']",['京师大学堂']
鲁迅在《新青年》上发表的第一篇白话小说是(),"['《孔乙己》', '《药》', '《狂人日记》', '《阿Q正传》']",['《狂人日记》']
"1927年大革命失败后,中国共产党召开的确定土地革命和武装斗争方针的会议是()","['八七会议', '古田会议', '遵义会议', '洛川会议']",['八七会议']
1894年11月喊出了“振兴中华”这个时代的最强音的是(),"['洪秀全', '严复', '孙中山', '康有为']",['孙中山']
标志着毛泽东思想多方面展开而达到成熟的理论是(),"['社会主义探索的理论', '社会主义革命的理论', '新民主主义理论', '农村包围城市、武装夺取政权理论']",['社会主义革命的理论']
"建国初,对官僚资本采取的方针是()","['赎买', '保持原状', '没收', '拍卖']",['没收']
"2014年,中共中央在北京召开文艺工作座谈会,习近平强调要始终坚持以()为中心的创作导向.","['实践', '人民', '市场', '政府']",['人民']
镇南关大捷中率部英勇杀敌的将军是().,"['冯子材', '关天培', '丁汝昌', '刘永福']",['冯子材']
"洋务运动的作用有()①客观上促进了早期的工业和民族资本主义的发展②有效的抵抗了外国的侵略③给当时的中国带来了新的知识,打开了人们的眼界④冲击了传统的“重农抑商”的思想","['①②④', '①②③', '①②', '①③④']",['①③④']
"洋务运动时期,清政府建立起四支水师,其中()是海军主力.","['福建水师', '广东水师', '广东水师', '北洋水师']",['北洋水师']
太平天国军事上的全盛时期是在().,"['1856年上半年', '1856年下半年', '1857年上半年', '1857年下半年']",['1856年上半年']
戊戌维新运动中维新派主张建立的政治制度是(),"['封建君主制', '君主立宪制', '民主共和制', '议会民主制']",['君主立宪制']
"太平天国是以()来发动、组织群众的,它不仅不能正确指导斗争,而且给农民战争带来了危害.","['宗教', '儒学', '基督教', '道教']",['宗教']
标志着中国共产党指导思想上拨乱反正的胜利完成是(),"['《关于党的若干历史问题的决议》的通过', '《关于建国以来党的若干历史问题的决议》的通过', '《关于加快农业发展若干问题的决定》的通过', '《关于经济体制改革的决定》的通过']",['《关于建国以来党的若干历史问题的决议》的通过']
初期新文化运动的实质是(),"['新文学运动', '反封建反礼教运动', '资产阶级民主主义运动', '民主民权运动']",['资产阶级民主主义运动']
"1945年10月10日,国共双方在重庆签署的确认和平建国基本方针的文件是().","['《政府与中共代表会谈纪要》', '《停战协定》', '《对目前时局的宣言》', '《国内和平协定》']",['《政府与中共代表会谈纪要》']
中国民族资产阶级登上政治舞台的第一次表演是(),"['戊戌维新运动', '洋务运动', '辛亥革命', '太平天国革命']",['戊戌维新运动']
"在太平天国战争后期,太平军重创外国侵略者指挥的洋枪队“常胜军”,并在浙江战场上击毙其统领()","['法尔思德', '华尔', '贺布', '勒伯勒东']",['华尔']
中国革命的领导阶级是(),"['资产阶级', '小资产阶级', '工人阶级', '农民阶级']",['工人阶级']
卢沟桥事变发生的时间是(),"['1936年8月', '1937年7月', '1937年5月', '1945年1月']",['1937年7月']
"从1937年卢沟桥事变到1938年10月广州、武汉失守,中国抗日战争处于()","['战略防御阶段', '战略相持阶段', '战略反攻阶段', '战略决战阶段']",['战略防御阶段']
"国民党在全国的统治建立后,官僚资本的垄断活动首先和主要是从()","['重工业方面开始的', '商业方面开始的', '轻工业方面开始的', '金融业方面开始的']",['金融业方面开始的']
"1946年2月10日,国民党特务政破坏“庆祝政协成功大会”,致李公朴、郭沫若、马寅初及新闻记者等多人被打伤,史称()","['下关惨案', '较场口惨案', '“一二·一”惨案', '李闻惨案']",['较场口惨案']
"毛泽东在《新民主主义论》中指出,新民主主义革命所要建立的国家体制是()","['资产阶级专政的共和国', '无产阶级专政的共和国', '工农民主专政的共和国', '几个革命阶级联合专政的共和国']",['几个革命阶级联合专政的共和国']
"解放战争时期,国民党统治区人民民主运动高涨的根本原因是()","['中国共产党组织了反蒋统治的第二条战线', '上海学生举行了声势浩大的“三反”斗争', '国民党蒋介石集团的经济崩溃和政治危机', '民主党派的联合斗争和人民起义遍及各地']",['国民党蒋介石集团的经济崩溃和政治危机']
"下列条约中,涉及即割地又赔款的是()①《南京条约》②《北京条约》③《马关条约》④《辛丑条约》","['①②③④', '①②③', '①②④', '①③④']",['①②③']
我国对资本主义工商业的社会主义改造所实行的政策是(),"['无偿没收', '有偿征用', '公私合营', '和平赎买']",['和平赎买']
"1946年6月至1947年6月,人民解放军处于()阶段.","['战略进攻', '战略相持', '战略决战', '战略防御']",['战略防御']
"1951年底到1952年,党和政府开展了()","['“三反”、“五反”运动', '镇压反革命', '土地改革', '抗美援朝']","['“三反”、“五反”运动', '镇压反革命']"
对“民权主义”理解正确的是(),"['推翻清王朝的封建专制统治', '进行政治革命,推翻封建帝制,建立资产阶级共和国', '平均地权、核定地价', '打击帝国主义在华势力']","['进行政治革命,推翻封建帝制,建立资产阶级共和国']"
"1939年12月,国民党军发动第一次反共高潮,侵犯的边区是()","['冀鲁豫边区', '晋绥边区', '皖东北边区', '陕甘宁边区']",['陕甘宁边区']
洋务运动时期最早创办的翻译学堂是(),"['同文馆', '广方言馆', '译书局', '译书馆']",['同文馆']
"1925年1月,()提出了工人阶级应当领导民主革命的明确主张.","['中共二大', '中共三大', '中共四大', '中共五大']",['中共四大']
"新文化运动左翼人士对资本主义持怀疑和保留态度是因为()①第一次世界大战暴露了资本主义制度固有的矛盾②帝国主义国家对中国的侵略与掠夺③帝国主义时代,资本主义制度的内在矛盾已经比较充分的暴露④中国人学习西方的努力屡遭失败的事实","['①②③', '①②④', '③④', '①②③④']",['①②④']
"1935年1月,中国共产党在遵义会议上解决的主要问题是()","['军事和组织问题', '思想和作风问题', '政治和军事问题', '筹款和征兵问题']",['军事和组织问题']
中国资产阶级革命派与资产阶级改良派的根本不同之处在于(),"['以武装起义推翻清朝的统治', '主张建立资产阶级政体', '废除科举制', '组织革命团体']",['以武装起义推翻清朝的统治']
2007年召开的中共十七大科学概括了,"['党在社会主义初级阶段的基本路线', '党在社会主义初级阶段的基本纲领', '建设中国特色社会主义的基本经验', '中国特色社会主义的理论体系']",['中国特色社会主义的理论体系']
"19世纪70年代后,洋务派开始兴办的官督商办的()","['民用工业企业', '新学', '军工企业', '铁路']",['民用工业企业']
"1955年,毛泽东总结农业合作化运动基本经验的报告是()","['《关于农业生产互助合作的决议(草案)》', '《关于发展农业生产合作社的决议》', '《关于农业合作化问题》', '《关于人民公社若干问题的决议》']",['《关于农业合作化问题》']
早期维新派的主要代表人物有()①王韬②薛福成③马建中④郑观应⑤严复,"['①②③④⑤', '②③④⑤', '①②③④', '①②③⑤']",['①②③④']
"1853年,太平天国定都天京后颁布的纲领性文件是()","['《原道觉世训》', '《十款天条》', '《天朝田亩制度》', '《资政新篇》']",['《天朝田亩制度》']
毛泽东首次提出“枪杆子里面出政权”的著名论断是(),"['党的“五大”', '《湖南农民运动考察报告》', '八七会议', '《战争和战略问题》']",['八七会议']
标志着中国近代完沦为半殖民地半封建社会的条约是(),"['《北京条约》', '《南京条约》', '《马关条约》', '《辛丑条约》']",['《辛丑条约》']
下列会议中系统地阐述了社会主义初级阶段理论的是(),"['中共十一届三中全会', '中共十二大', '中共十二届三中全会', '中共十三大']",['中共十三大']
毛泽东提出的“工农武装割据”的基本内容是()①统一战线②土地革命③武装斗争④农村根据地建设,"['①③', '②④', '②③④', '①②③④']",['②③④']
1925年国民政府将所辖各部队统一改编为(),"['国民军', '东征军', '国民革命军', '北伐军']",['国民革命军']
"大革命时期,中国社会的主要矛盾突出地表现为()","['帝国主义与中华民族的矛盾', '中国人民与北洋军阀的矛盾', '农民阶级同地主阶级的矛盾', '革命统一战线内部的矛盾']",['中国人民与北洋军阀的矛盾']
"1946年6月全面内战爆发时,国民党军队首先进攻的地区是()","['中原解放区', '东北解放区', '山东解放区', '陕甘宁解放区']",['中原解放区']
